Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
449,172.16.11.1,172.16.10.1,20,0,0,6
450,172.16.10.1,172.16.11.1,20,0,0,6
451,172.16.11.1,172.16.10.1,20,0,0,6
452,172.16.10.1,172.16.11.1,20,0,0,6
453,172.16.11.1,172.16.10.1,20,0,0,6
454,172.16.11.1,172.16.10.1,20,0,0,6
455,172.16.10.1,172.16.11.1,20,0,0,6
456,172.16.11.1,172.16.10.1,20,0,0,6
457,172.16.11.1,172.16.10.1,20,0,0,6
458,172.16.11.1,172.16.10.1,20,0,0,6
459,172.16.11.1,172.16.10.1,20,0,0,6
460,172.16.10.1,172.16.11.1,20,0,0,6
461,172.16.11.1,172.16.10.1,20,0,0,6
462,172.16.11.1,172.16.10.1,20,0,0,6
463,172.16.10.1,172.16.11.1,20,0,0,6
464,172.16.10.1,172.16.11.1,20,0,0,6
465,172.16.11.1,172.16.10.1,20,0,0,6
466,172.16.11.1,172.16.10.1,20,0,0,6
467,172.16.10.1,172.16.11.1,20,0,0,6
468,172.16.11.1,172.16.10.1,20,0,0,6
469,172.16.11.1,172.16.10.1,20,0,0,6
470,172.16.10.1,172.16.11.1,20,0,0,6
471,172.16.11.1,172.16.10.1,20,0,0,6
472,172.16.11.1,172.16.10.1,20,0,0,6
473,172.16.11.1,172.16.10.1,20,0,0,6
474,172.16.10.1,172.16.11.1,20,0,0,6
475,172.16.11.1,172.16.10.1,20,0,0,6
476,172.16.11.1,172.16.10.1,20,0,0,6
477,172.16.10.1,172.16.11.1,20,0,0,6
478,172.16.11.1,172.16.10.1,20,0,0,6
479,172.16.11.1,172.16.10.1,20,0,0,6
480,172.16.10.1,172.16.11.1,20,0,0,6
481,172.16.11.1,172.16.10.1,20,0,0,6
482,172.16.11.1,172.16.10.1,20,0,0,6
483,172.16.10.1,172.16.11.1,20,0,0,6
484,172.16.11.1,172.16.10.1,20,0,0,6
485,172.16.11.1,172.16.10.1,20,0,0,6
486,172.16.10.1,172.16.11.1,20,0,0,6
487,172.16.11.1,172.16.10.1,20,0,0,6
488,172.16.11.1,172.16.10.1,20,0,0,6
489,172.16.10.1,172.16.11.1,20,0,0,6
490,172.16.11.1,172.16.10.1,20,0,0,6
491,172.16.11.1,172.16.10.1,20,0,0,6
492,172.16.10.1,172.16.11.1,20,0,0,6
493,172.16.11.1,172.16.10.1,20,0,0,6
494,172.16.11.1,172.16.10.1,20,0,0,6
495,172.16.11.1,172.16.10.1,20,0,0,6
496,172.16.10.1,172.16.11.1,20,0,0,6
497,172.16.11.1,172.16.10.1,20,0,0,6
498,172.16.11.1,172.16.10.1,20,0,0,6
499,172.16.10.1,172.16.11.1,20,0,0,6
500,172.16.11.1,172.16.10.1,20,0,0,6
501,172.16.11.1,172.16.10.1,20,0,0,6
502,172.16.10.1,172.16.11.1,20,0,0,6
503,172.16.11.1,172.16.10.1,20,0,0,6
504,172.16.11.1,172.16.10.1,20,0,0,6
505,172.16.10.1,172.16.11.1,20,0,0,6
506,172.16.11.1,172.16.10.1,20,0,0,6
507,172.16.11.1,172.16.10.1,20,0,0,6
