tcp_80_connections,tcp_443_connections,udp_443_connections
"('161.32.2.115', 35473, '198.210.199.29', 80)","('193.50.255.17', 443, '145.120.33.1', 2991)",
"('193.188.224.94', 24227, '69.64.1.95', 80)","('164.66.66.17', 50270, '222.128.131.192', 443)",
"('164.93.88.144', 1421, '35.3.240.12', 80)","('88.165.92.235', 443, '164.88.48.130', 63362)",
"('11.43.100.172', 80, '164.143.213.140', 33858)","('164.66.66.17', 50268, '45.171.169.0', 443)",
"('149.198.202.137', 62330, '222.9.85.15', 80)","('161.32.245.140', 6894, '44.206.252.199', 443)",
"('161.32.8.4', 3858, '218.34.48.0', 80)","('88.165.92.235', 443, '164.88.48.133', 63942)",
"('161.32.196.178', 34461, '198.210.73.171', 80)","('164.93.66.112', 31073, '46.36.64.152', 443)",
"('164.66.234.130', 80, '220.75.138.83', 55317)","('164.143.180.111', 1197, '193.50.255.128', 443)",
"('209.0.38.184', 80, '164.66.48.251', 3119)","('149.198.202.136', 60916, '213.23.207.114', 443)",
"('161.32.38.70', 80, '212.36.40.221', 3360)","('149.198.203.99', 65064, '94.101.155.130', 443)",
"('164.66.234.130', 80, '44.78.174.13', 10147)","('92.21.96.178', 443, '145.120.98.122', 55889)",
"('182.56.80.154', 29844, '221.167.56.252', 80)","('149.198.203.114', 62321, '32.142.1.123', 443)",
"('35.165.70.240', 80, '145.120.5.48', 2272)","('149.198.236.4', 1354, '42.65.128.21', 443)",
"('164.93.70.235', 47326, '212.30.112.42', 80)","('172.20.32.208', 1209, '52.97.29.177', 443)",
"('164.191.23.53', 54423, '44.206.249.1', 80)","('222.163.110.153', 1039, '164.143.130.233', 443)",
"('161.32.8.4', 3856, '218.34.48.0', 80)","('186.145.196.25', 9212, '43.25.43.175', 443)",
"('145.120.132.151', 46823, '212.82.73.5', 80)","('193.30.113.34', 443, '193.188.201.199', 2124)",
"('149.198.202.137', 62511, '44.206.252.198', 80)","('161.32.2.115', 2478, '217.6.16.211', 443)",
"('149.198.149.188', 80, '194.152.50.45', 37967)","('44.206.249.138', 443, '164.143.176.84', 50077)",
"('149.198.202.137', 62371, '222.9.85.15', 80)","('47.56.170.190', 443, '193.188.208.209', 65201)",
"('182.56.80.154', 29800, '221.167.56.252', 80)","('149.198.203.114', 62325, '11.43.100.104', 443)",
"('222.76.151.229', 80, '164.143.212.86', 2007)","('149.198.202.137', 62349, '11.43.100.46', 443)",
"('92.11.240.130', 80, '161.32.24.15', 2232)","('164.93.153.74', 1786, '92.11.250.40', 443)",
"('44.206.250.129', 80, '161.32.242.15', 61250)","('145.120.98.122', 55888, '92.21.96.178', 443)",
"('213.23.207.182', 80, '145.120.217.225', 1301)","('149.198.195.55', 63345, '45.171.230.87', 443)",
"('193.176.24.122', 47434, '11.43.102.51', 80)","('149.198.3.99', 3140, '51.138.41.248', 443)",
"('161.32.228.112', 1580, '35.3.204.129', 80)","('88.165.92.235', 443, '164.88.48.131', 60529)",
"('161.32.2.115', 35455, '162.100.225.123', 80)","('193.176.28.1', 20788, '40.96.77.59', 443)",
"('164.143.178.156', 2547, '11.43.100.20', 80)","('145.120.5.48', 2292, '46.224.98.179', 443)",
"('214.206.51.151', 80, '161.32.65.172', 1653)","('145.120.33.1', 2987, '193.50.255.17', 443)",
"('145.120.37.192', 1705, '46.224.98.187', 80)","('193.50.255.128', 443, '164.143.180.111', 1197)",
"('186.145.7.21', 51385, '11.43.102.40', 80)","('193.50.255.147', 443, '145.120.33.1', 2993)",
"('164.93.48.13', 62224, '11.43.102.22', 80)","('88.165.92.235', 443, '164.88.48.133', 63944)",
"('54.119.99.207', 80, '164.66.46.8', 49384)","('92.21.96.178', 443, '145.120.98.122', 55882)",
"('223.151.202.73', 80, '193.188.201.199', 2205)","('149.198.197.26', 2374, '217.0.73.192', 443)",
"('212.48.1.166', 80, '161.32.24.44', 40468)",,
"('149.198.202.137', 62533, '44.44.52.227', 80)",,
"('209.135.26.119', 80, '161.32.94.4', 41178)",,
"('149.198.202.137', 62508, '192.182.105.17', 80)",,
"('199.98.129.150', 80, '193.176.28.18', 54350)",,
