Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
43628,2001:3c00:5846:1a2a::300:53,2001:385a:4a21:e:1bcc:21ff:325f:37ea,53,33270,0,0,17,60+114
43638,2001:3c21:f800:83::f5,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+301
43639,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::90,6667,32988,255126,0,6,72+32
43641,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32
43646,2001:385a:498f:78:7c00::a6,2001:326c::e5,37582,53,0,0,17,60+58
43648,2001:385a:498f:78:7c00::a6,2001:326c::e5,37582,53,0,0,17,60+58
43658,2001:326c::e5,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114
43659,2001:326c::e5,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114
43769,2001:3c00:5846:1a2a::f00:d488,2002:d26e:5777::bd,6667,63276,255463,0,6,60+20
43805,2002:d3b2:d42f::9,2001:3c00:5846:1a2a::f00:d488,58360,6667,0,0,6,72+60
44185,2001:3daa:4d00::298c,2001:3c00:5846:1a2a::f00:d488,43954,6667,0,0,6,80+40
44720,2001:3269:3d:0:8883::ed2e,2001:38af:277::f919,-,-,0,0,58,44+112
