Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
73251,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+43,43
74009,2001:3c52::3b,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114,114
74010,2001:3c52::3b,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+114,114
75587,2001:385a:498f:79::f4,2001:326c::e5,32816,53,0,0,17,60+65,65
75591,2001:326c::e5,2001:385a:498f:79::f4,53,32816,0,0,17,60+112,112
77109,3ffe:3c05:3a:0:1dce:4eff:c0a4:8aae,2001:3c00:5846:1a2a::300:53,53,53,0,0,17,60+53,53
77955,2001:3c14:59c5:d656::85,2001:3c00:5943::5d,53,65533,0,0,17,60+376,376
78291,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+60,60
78637,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+60,60
79160,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+58,58
79421,2001:3da6:6072:0:c4f7:50ff:1f16:5d73,2001:326c::e5,53,53,0,0,17,60+53,53
79828,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+58,58
80087,2001:3ca7:7a:e90a:1b22:a2ff:7c68:fc80,2001:39c8:5:fd09::1d,53,41367,0,0,17,60+97,97
80230,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+79,79
80374,2001:3c00:5846:1a2a::300:54,2001:3959:ae47:0:8d:24:0:9a88,65533,53,0,0,17,60+79,79
81099,2001:38ed:0:704e::2b,2001:3c00:5e00:6700::9d52:d0,35271,53,0,0,17,60+109,109
82841,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+60,60
83306,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+60,60
83689,2001:3959:ae47:0:8d:24:0:9a88,2001:3c00:5846:1a2a::300:54,53,65533,0,0,17,60+58,58
